agency_cd	site_no	parameter_cd	dd_nu	year_nu	month_nu	mean_va
USGS	14064500	00060	5	1967	2	654.5
USGS	14064500	00060	5	1967	3	664.7
USGS	14064500	00060	5	1967	4	1039
USGS	14064500	00060	5	1967	5	2002
USGS	14064500	00060	5	1967	6	2114
USGS	14064500	00060	5	1967	7	2453
USGS	14064500	00060	5	1967	8	2253
USGS	14064500	00060	5	1967	9	1880
USGS	14064500	00060	5	1967	10	901.5
USGS	14064500	00060	5	1967	11	558.0
USGS	14064500	00060	5	1967	12	545.1
USGS	14064500	00060	5	1968	1	557.5
USGS	14064500	00060	5	1968	2	665.9
USGS	14064500	00060	5	1968	3	682.8
USGS	14064500	00060	5	1968	4	995.2
USGS	14064500	00060	5	1968	5	1700
USGS	14064500	00060	5	1968	6	2129
USGS	14064500	00060	5	1968	7	2178
USGS	14064500	00060	5	1968	8	1844
USGS	14064500	00060	5	1968	9	1497
USGS	14064500	00060	5	1968	10	892.9
USGS	14064500	00060	5	1968	11	573.8
USGS	14064500	00060	5	1968	12	543.3
USGS	14064500	00060	5	1969	1	558.7
USGS	14064500	00060	5	1969	2	514.5
USGS	14064500	00060	5	1969	3	541.9
USGS	14064500	00060	5	1969	4	966.4
USGS	14064500	00060	5	1969	5	1627
USGS	14064500	00060	5	1969	6	1965
USGS	14064500	00060	5	1969	7	2389
USGS	14064500	00060	5	1969	8	2348
USGS	14064500	00060	5	1969	9	1680
USGS	14064500	00060	5	1969	10	950.8
USGS	14064500	00060	5	1969	11	486.7
USGS	14064500	00060	5	1969	12	519.7
USGS	14064500	00060	5	1970	1	701.3
USGS	14064500	00060	5	1970	2	692.5
USGS	14064500	00060	5	1970	3	649.5
USGS	14064500	00060	5	1970	4	1082
USGS	14064500	00060	5	1970	5	1829
USGS	14064500	00060	5	1970	6	2234
USGS	14064500	00060	5	1970	7	2329
USGS	14064500	00060	5	1970	8	2199
USGS	14064500	00060	5	1970	9	1823
USGS	14064500	00060	5	1970	10	1082
USGS	14064500	00060	5	1970	11	605.1
USGS	14064500	00060	5	1970	12	583.1
USGS	14064500	00060	5	1971	1	753.4
USGS	14064500	00060	5	1971	2	804.0
USGS	14064500	00060	5	1971	3	730.2
USGS	14064500	00060	5	1971	4	1085
USGS	14064500	00060	5	1971	5	1867
USGS	14064500	00060	5	1971	6	2211
USGS	14064500	00060	5	1971	7	2526
USGS	14064500	00060	5	1971	8	2306
USGS	14064500	00060	5	1971	9	1997
USGS	14064500	00060	5	1971	10	1042
USGS	14064500	00060	5	1971	11	904.3
USGS	14064500	00060	5	1971	12	1029
USGS	14064500	00060	5	1972	1	1090
USGS	14064500	00060	5	1972	2	1278
USGS	14064500	00060	5	1972	3	2068
USGS	14064500	00060	5	1972	4	1767
USGS	14064500	00060	5	1972	5	2021
USGS	14064500	00060	5	1972	6	2409
USGS	14064500	00060	5	1972	7	2510
USGS	14064500	00060	5	1972	8	2297
USGS	14064500	00060	5	1972	9	2323
USGS	14064500	00060	5	1972	10	1598
USGS	14064500	00060	5	1972	11	1315
USGS	14064500	00060	5	1972	12	1223
USGS	14064500	00060	5	1973	1	1353
USGS	14064500	00060	5	1973	2	1345
USGS	14064500	00060	5	1973	3	1090
USGS	14064500	00060	5	1973	4	1618
USGS	14064500	00060	5	1973	5	2235
USGS	14064500	00060	5	1973	6	2420
USGS	14064500	00060	5	1973	7	2508
USGS	14064500	00060	5	1973	8	2146
USGS	14064500	00060	5	1973	9	1576
USGS	14064500	00060	5	1973	10	979.1
